#,title,videoUrl,videoId,publishedAt,position
44,Logic in AI : Syntax - Part - 2,https://www.youtube.com/watch?v=BHJ7IJHcLAE&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=44,BHJ7IJHcLAE,2020-03-06T10:55:15Z,43
45,Logic in AI : Semantics - Part - 3,https://www.youtube.com/watch?v=mqRqiZ3uQRQ&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=45,mqRqiZ3uQRQ,2020-03-06T10:55:15Z,44
46,Logic in AI : Forward Chaining - Part 4,https://www.youtube.com/watch?v=CAsq7hm3sbI&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=46,CAsq7hm3sbI,2020-03-06T10:55:15Z,45
47,Logic in AI : Resolution - Part - 5,https://www.youtube.com/watch?v=stE_TdS1dh0&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=47,stE_TdS1dh0,2020-03-06T10:55:15Z,46
48,Logic in AI : Reduction to Satisfiability Problems - Part - 6,https://www.youtube.com/watch?v=euqzxTnKDt4&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=48,euqzxTnKDt4,2020-03-06T10:55:14Z,47
49,Logic in AI : SAT Solvers : DPLL Algorithm - Part - 7,https://www.youtube.com/watch?v=xFpndTg7ZqA&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=49,xFpndTg7ZqA,2020-03-06T10:55:15Z,48
50,Logic in AI : Sat Solvers: WalkSAT Algorithm - Part - 8,https://www.youtube.com/watch?v=z_JRErOYDso&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=50,z_JRErOYDso,2020-03-06T10:55:15Z,49
51,Uncertainty in AI: Motivation,https://www.youtube.com/watch?v=5MaV5Zs-WC0&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=51,5MaV5Zs-WC0,2020-03-13T13:56:29Z,50
52,Uncertainty in AI: Basics of Probability,https://www.youtube.com/watch?v=oKs9NK563ys&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=52,oKs9NK563ys,2020-03-13T13:56:29Z,51
53,Uncertainty in AI: Conditional Independence & Bayes Rule,https://www.youtube.com/watch?v=0DFlQWZR9-M&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=53,0DFlQWZR9-M,2020-03-13T13:56:29Z,52
54,Bayesian Networks: Syntax,https://www.youtube.com/watch?v=h1qXycuuDqY&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=54,h1qXycuuDqY,2020-03-13T13:56:29Z,53
55,Bayesian Networks: Factoriziation,https://www.youtube.com/watch?v=y2wf0h8eLB8&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=55,y2wf0h8eLB8,2020-03-13T13:56:29Z,54
56,Bayesian Networks: Conditional Independences and d-Separation,https://www.youtube.com/watch?v=c_y3faxUrMY&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=56,c_y3faxUrMY,2020-03-13T13:56:29Z,55
57,Bayesian Networks: Inference using Variable Elimination,https://www.youtube.com/watch?v=dkeUDOzoC30&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=57,dkeUDOzoC30,2020-03-13T13:56:29Z,56
58,Bayesian Networks: Reducing 3-SAT to Bayes Net,https://www.youtube.com/watch?v=5mB9C77HavY&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=58,5mB9C77HavY,2020-03-13T13:56:29Z,57
59,Bayesian Networks: Rejection Sampling,https://www.youtube.com/watch?v=VU3p-7y7REs&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=59,VU3p-7y7REs,2020-03-19T12:36:12Z,58
60,Bayesian Networks: Likelihood Weighting,https://www.youtube.com/watch?v=cpP66Ga44ng&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=60,cpP66Ga44ng,2020-03-19T12:36:12Z,59
61,Bayesian Networks: MCMC with Gibbs Sampling,https://www.youtube.com/watch?v=dZoHsVO4F3k&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=61,dZoHsVO4F3k,2020-03-19T12:36:12Z,60
62,"Bayesian Networks: Maximum Likelihood Learning""",https://www.youtube.com/watch?v=13wkyu5c-s4&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=62,13wkyu5c-s4,2020-03-19T12:36:12Z,61
63,Bayesian Networks: Maximum a-Posteriori LearningÂ,https://www.youtube.com/watch?v=tr1jxgKbNuw&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=63,tr1jxgKbNuw,2020-03-19T12:36:12Z,62
64,Bayesian Networks: Bayesian Learning,https://www.youtube.com/watch?v=hgXu-Nqy0v4&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=64,hgXu-Nqy0v4,2020-03-19T12:36:12Z,63
65,Bayesian Networks: Structure Learning and Expectation Maximization,https://www.youtube.com/watch?v=3-qjNObPEO4&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=65,3-qjNObPEO4,2020-03-19T12:36:12Z,64
66,"Introduction, Part 10: Agents and Environments",https://www.youtube.com/watch?v=ACL2-h9UNsw&list=PL0zUXo6SWohzMAJnC1OkwA8hQEoTYp043&index=66,ACL2-h9UNsw,2020-03-19T12:36:12Z,65
